,batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,deepgemm_stage1_us,moreh_us,speedup_deepgemm,speedup_stage1
104,7,2,32,128,512,0.5,9.4,100.6,10.3,0.91x,9.81x
105,7,2,32,128,1024,0.25,9.2,101.1,10.7,0.87x,9.48x
106,7,2,32,128,2048,0.125,9.3,101.3,12.9,0.72x,7.85x
107,7,2,32,128,4096,0.0625,9.6,103.5,18.0,0.54x,5.77x
108,7,2,32,128,8192,0.03125,12.8,110.2,20.1,0.63x,5.47x
109,7,2,32,128,16384,0.015625,27.9,125.7,25.7,1.09x,4.90x
110,7,2,32,128,32768,0.0078125,46.1,143.9,39.5,1.17x,3.64x
111,7,2,32,128,65536,0.00390625,86.5,186.2,57.9,1.49x,3.21x
112,8,1,32,128,512,0.5,9.0,67.8,9.0,0.99x,7.49x
113,8,1,32,128,1024,0.25,8.9,62.5,9.2,0.97x,6.77x
114,8,1,32,128,2048,0.125,9.1,63.3,9.8,0.93x,6.49x
115,8,1,32,128,4096,0.0625,9.2,63.9,11.5,0.80x,5.58x
116,8,1,32,128,8192,0.03125,9.5,65.9,12.9,0.73x,5.09x
117,8,1,32,128,16384,0.015625,13.0,73.9,18.5,0.70x,3.99x
118,8,1,32,128,32768,0.0078125,29.0,89.2,25.1,1.16x,3.55x
119,8,1,32,128,65536,0.00390625,55.9,116.6,37.8,1.48x,3.08x
120,8,2,32,128,512,0.5,9.6,115.8,10.6,0.90x,10.92x
121,8,2,32,128,1024,0.25,9.3,113.4,12.3,0.75x,9.20x
122,8,2,32,128,2048,0.125,9.4,115.1,13.0,0.72x,8.87x
123,8,2,32,128,4096,0.0625,9.7,116.5,18.2,0.53x,6.41x
124,8,2,32,128,8192,0.03125,13.4,124.0,19.7,0.68x,6.29x
125,8,2,32,128,16384,0.015625,29.5,140.7,27.3,1.08x,5.15x
126,8,2,32,128,32768,0.0078125,57.5,170.2,36.9,1.56x,4.61x
127,8,2,32,128,65536,0.00390625,100.1,212.7,54.9,1.82x,3.88x
