batch_size,next_n,heads,index_dim,avg_kv_length,var_ratio,deepgemm_us,moreh_us,speedup,num_warp,chunkK,splitK
92,1,32,128,65536,0.00390625,539.7,284.1,1.899,8,64,40
93,1,32,128,65536,0.00390625,541.7,244.5,2.215,4,64,64
94,1,32,128,65536,0.00390625,539.1,273.3,1.972,4,64,-1
95,1,32,128,65536,0.00390625,561.4,241.7,2.323,8,64,8
96,1,32,128,65536,0.00390625,558.1,288.8,1.933,4,64,-1
97,1,32,128,65536,0.00390625,559.5,222.4,2.515,4,64,56
98,1,32,128,65536,0.00390625,549.2,226.4,2.426,8,128,32
99,1,32,128,65536,0.00390625,566.5,263.5,2.15,4,64,-1
100,1,32,128,65536,0.00390625,559.7,294,1.904,4,64,24
101,1,32,128,65536,0.00390625,565.4,277.7,2.036,8,128,40
102,1,32,128,65536,0.00390625,571.6,284.7,2.008,8,128,-1
103,1,32,128,65536,0.00390625,599.8,253.8,2.363,8,64,8
104,1,32,128,65536,0.00390625,586.6,328.7,1.785,2,64,-1
105,1,32,128,65536,0.00390625,585.5,260,2.252,4,64,56
106,1,32,128,65536,0.00390625,581,261.5,2.222,8,128,32
107,1,32,128,65536,0.00390625,599.9,271.1,2.213,4,64,-1
108,1,32,128,65536,0.00390625,591.8,318.3,1.859,8,128,40
109,1,32,128,65536,0.00390625,594.5,283.9,2.094,4,64,48
110,1,32,128,65536,0.00390625,587.7,290,2.026,4,64,80
111,1,32,128,65536,0.00390625,617.5,258.6,2.388,8,64,8
112,1,32,128,65536,0.00390625,603.2,351.3,1.717,2,64,-1
113,1,32,128,65536,0.00390625,609.2,253.1,2.407,4,64,56
114,1,32,128,65536,0.00390625,603.2,286,2.109,8,128,24
115,1,32,128,65536,0.00390625,624.5,292.8,2.133,2,64,-1
116,1,32,128,65536,0.00390625,613.1,314.9,1.947,8,128,16
117,1,32,128,65536,0.00390625,612.5,301.5,2.031,4,64,56
118,1,32,128,65536,0.00390625,609.5,284,2.146,8,128,4
119,1,32,128,65536,0.00390625,640.2,271.1,2.361,8,64,8
120,1,32,128,65536,0.00390625,623.9,380.4,1.64,2,64,-1
121,1,32,128,65536,0.00390625,621.8,259.1,2.399,4,64,56
122,1,32,128,65536,0.00390625,685,313.8,2.183,8,128,24
123,1,32,128,65536,0.00390625,706.7,336.5,2.1,4,64,8
124,1,32,128,65536,0.00390625,697.1,351.3,1.985,8,128,16
125,1,32,128,65536,0.00390625,702.3,357.4,1.965,4,64,80
126,1,32,128,65536,0.00390625,687.2,334.1,2.057,8,128,4
127,1,32,128,65536,0.00390625,726.7,306.7,2.37,8,64,8
128,1,32,128,65536,0.00390625,711.3,394.4,1.804,4,128,8
